32	Aldea Pharmaceuticals, Inc.	https://www.pwcmoneytree.com/SingleEntry/singleComp?compName=Aldea Pharmaceuticals, Inc.	Redwood City, CA 94063	Silicon Valley	www.aldeapharma.com		$1,000,000	6	Early Stage	Biotechnology	ALDEA Pharmaceuticals, Inc. is a pharmaceutical company.	Canaan Partners	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=Canaan Partners&Drill=2014-2	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
33	Alector LLC	https://www.pwcmoneytree.com/SingleEntry/singleComp?compName=Alector LLC	San Francisco, CA 94107	Silicon Valley	alector.com		$3,000,000	2	Startup/Seed	Biotechnology	Alector LLC is a biotech company.	Polaris Partners	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=Polaris Partners&Drill=2014-2	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
34	Aledade Inc	https://www.pwcmoneytree.com/SingleEntry/singleComp?compName=Aledade Inc	Bethesda, MD 20814	DC/Metroplex	www.aledade.org		$4,500,000	1	Early Stage	Healthcare Services	Partners with primary care physicians to form ACOs.	Venrock, Inc.	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=Venrock, Inc.&Drill=2014-2	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
35	Algal Scientific Corp	https://www.pwcmoneytree.com/SingleEntry/singleComp?compName=Algal Scientific Corp	Northville, MI 48168	Midwest	algalscientific.com		$3,000,000	4	Expansion	Industrial/Energy	Algal Scientific Corp provides a wastewater treatment system.	Evonik Industries AG Corporate Venturing	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=Evonik Industries AG Corporate Venturing&Drill=2014-2	Formation 8 Partners LP	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=Formation 8 Partners LP&Drill=2014-2	Independence Equity Management LLC	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=Independence Equity Management LLC&Drill=2014-2	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
36	Alignable Inc	https://www.pwcmoneytree.com/SingleEntry/singleComp?compName=Alignable Inc	Concord, MA 01742	New England	www.alignable.com		$99,000	3	Early Stage	IT Services	Operates an online social network where local business owners can connect.	Longworth Venture Partners, L.P.	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=Longworth Venture Partners, L.P.&Drill=2014-2	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
37	Alios BioPharma Inc	https://www.pwcmoneytree.com/SingleEntry/singleComp?compName=Alios BioPharma Inc	South San Francisco, CA 94080	Silicon Valley	www.aliosbiopharma.com		$41,000,000	4	Early Stage	Biotechnology	Develops novel medicines for treatment of viral diseases.	F Hoffmann La Roche AG	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=F Hoffmann La Roche AG&Drill=2014-2	Novartis Venture Funds	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=Novartis Venture Funds&Drill=2014-2	Novo A/S	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=Novo A/S&Drill=2014-2	Sr One, Ltd.	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=Sr One, Ltd.&Drill=2014-2	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
38	Allclasses Inc	https://www.pwcmoneytree.com/SingleEntry/singleComp?compName=Allclasses Inc	Boston, MA 02111	New England	www.allclasses.com		$1,500,000	1	Early Stage	IT Services	Allclasses Inc operates a website that finds and compares online classes.	Atlas Venture Advisors Inc	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=Atlas Venture Advisors Inc&Drill=2014-2	Floodgate Fund, L.P.	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=Floodgate Fund, L.P.&Drill=2014-2	Great Oaks Venture Capital LLC	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=Great Oaks Venture Capital LLC&Drill=2014-2	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
39	Allena Pharmaceuticals Inc	https://www.pwcmoneytree.com/SingleEntry/singleComp?compName=Allena Pharmaceuticals Inc	Newton, MA 02462	New England	www.allenapharma.com		$2,000,000	4	Early Stage	Biotechnology	Allena Pharmaceuticals Inc (Allena) is a life sciences company.	Frazier Management LLC	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=Frazier Management LLC&Drill=2014-2	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
40	Ambri Inc	https://www.pwcmoneytree.com/SingleEntry/singleComp?compName=Ambri Inc	Cambridge, MA 02139	New England	www.ambri.com		$35,000,000	2	Expansion	Electronics/Instrumentation	Develops and commercializes liquid metal battery technology.	Khosla Ventures LLC	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=Khosla Ventures LLC&Drill=2014-2	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
41	American Aerogel Corp	https://www.pwcmoneytree.com/SingleEntry/singleComp?compName=American Aerogel Corp	Rochester, NY 14611	Upstate NY	www.americanaerogel.com		$2,500,000	4	Later Stage	Industrial/Energy	American Aerogel Corporation develops aerogel-based insulation products.	Cycle Capital Management (CCM) Inc	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=Cycle Capital Management (CCM) Inc&Drill=2014-2	Wave Equity Partners LLC	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=Wave Equity Partners LLC&Drill=2014-2	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
