Mobile Name	url	url	wallpapers	ringtones	size
Acer	http://www.zedge.net/phone-index/76/acer/	http://www.zedge.net/phone-index/76-4222/acer/acer-betouch-e130/	http://www.zedge.net/wallpapers/4222/acer-betouch-e130-wallpapers/	http://www.zedge.net/ringtones/4222/acer-betouch-e130-ringtones/	115 x 62 x 11 mm
Acer	http://www.zedge.net/phone-index/76/acer/	http://www.zedge.net/phone-index/76-4216/acer/acer-betouch-e120/	http://www.zedge.net/wallpapers/4216/acer-betouch-e120-wallpapers/	http://www.zedge.net/ringtones/4216/acer-betouch-e120-ringtones/	104 x 54 x 13 mm
Acer	http://www.zedge.net/phone-index/76/acer/	http://www.zedge.net/phone-index/76-4149/acer/acer-liquid-stream/	http://www.zedge.net/wallpapers/4149/acer-liquid-stream-wallpapers/	http://www.zedge.net/ringtones/4149/acer-liquid-stream-ringtones/	119 x 63 x 11 mm
Acer	http://www.zedge.net/phone-index/76/acer/	http://www.zedge.net/phone-index/76-3977/acer/acer-p300-neotouch/	http://www.zedge.net/wallpapers/3977/acer-p300-neotouch-wallpapers/	http://www.zedge.net/ringtones/3977/acer-p300-neotouch-ringtones/	110 x 55 x 15 mm
Acer	http://www.zedge.net/phone-index/76/acer/	http://www.zedge.net/phone-index/76-3976/acer/acer-e110-betouch/	http://www.zedge.net/wallpapers/3976/acer-e110-betouch-wallpapers/	http://www.zedge.net/ringtones/3976/acer-e110-betouch-ringtones/	103 x 54 x 13 mm
Acer	http://www.zedge.net/phone-index/76/acer/	http://www.zedge.net/phone-index/76-3945/acer/acer-betouch-e110/	http://www.zedge.net/wallpapers/3945/acer-betouch-e110-wallpapers/	http://www.zedge.net/ringtones/3945/acer-betouch-e110-ringtones/	103 x 54 x 13 mm
Acer	http://www.zedge.net/phone-index/76/acer/	http://www.zedge.net/phone-index/76-3944/acer/acer-neotouch-p300/	http://www.zedge.net/wallpapers/3944/acer-neotouch-p300-wallpapers/	http://www.zedge.net/ringtones/3944/acer-neotouch-p300-ringtones/	110 x 55 x 15 mm
Acer	http://www.zedge.net/phone-index/76/acer/	http://www.zedge.net/phone-index/76-3910/acer/acer-neotouch-p400/	http://www.zedge.net/wallpapers/3910/acer-neotouch-p400-wallpapers/	http://www.zedge.net/ringtones/3910/acer-neotouch-p400-ringtones/	115 x 59 x 12 mm
Acer	http://www.zedge.net/phone-index/76/acer/	http://www.zedge.net/phone-index/76-3909/acer/acer-liquid-e/	http://www.zedge.net/wallpapers/3909/acer-liquid-e-wallpapers/	http://www.zedge.net/ringtones/3909/acer-liquid-e-ringtones/	115 x 62 x 12 mm
Acer	http://www.zedge.net/phone-index/76/acer/	http://www.zedge.net/phone-index/76-3908/acer/acer-betouch-e400/	http://www.zedge.net/wallpapers/3908/acer-betouch-e400-wallpapers/	http://www.zedge.net/ringtones/3908/acer-betouch-e400-ringtones/	115 x 59 x 12 mm
Acer	http://www.zedge.net/phone-index/76/acer/	http://www.zedge.net/phone-index/76-3566/acer/acer-liquid/	http://www.zedge.net/wallpapers/3566/acer-liquid-wallpapers/	http://www.zedge.net/ringtones/3566/acer-liquid-ringtones/	115 x 62 x 12 mm
Acer	http://www.zedge.net/phone-index/76/acer/	http://www.zedge.net/phone-index/76-3520/acer/acer-a1/	http://www.zedge.net/wallpapers/3520/acer-a1-wallpapers/	http://www.zedge.net/ringtones/3520/acer-a1-ringtones/	115 x 62 x 12 mm
Acer	http://www.zedge.net/phone-index/76/acer/	http://www.zedge.net/phone-index/76-3515/acer/acer-neotouch-s200/	http://www.zedge.net/wallpapers/3515/acer-neotouch-s200-wallpapers/	http://www.zedge.net/ringtones/3515/acer-neotouch-s200-ringtones/	118 x 63 x 12 mm
Acer	http://www.zedge.net/phone-index/76/acer/	http://www.zedge.net/phone-index/76-3509/acer/acer-e200-betouch/	http://www.zedge.net/wallpapers/3509/acer-e200-betouch-wallpapers/	http://www.zedge.net/ringtones/3509/acer-e200-betouch-ringtones/	110 x 53 x 15 mm
Acer	http://www.zedge.net/phone-index/76/acer/	http://www.zedge.net/phone-index/76-3508/acer/acer-e101-betouch/	http://www.zedge.net/wallpapers/3508/acer-e101-betouch-wallpapers/	http://www.zedge.net/ringtones/3508/acer-e101-betouch-ringtones/	113 x 56 x 12 mm
Acer	http://www.zedge.net/phone-index/76/acer/	http://www.zedge.net/phone-index/76-3507/acer/acer-e100-betouch/	http://www.zedge.net/wallpapers/3507/acer-e100-betouch-wallpapers/	http://www.zedge.net/ringtones/3507/acer-e100-betouch-ringtones/	113 x 56 x 12 mm
Acer	http://www.zedge.net/phone-index/76/acer/	http://www.zedge.net/phone-index/76-3372/acer/acer-dx650/	http://www.zedge.net/wallpapers/3372/acer-dx650-wallpapers/	http://www.zedge.net/ringtones/3372/acer-dx650-ringtones/	109 x 59 x 15 mm
Acer	http://www.zedge.net/phone-index/76/acer/	http://www.zedge.net/phone-index/76-2919/acer/acer-x960/	http://www.zedge.net/wallpapers/2919/acer-x960-wallpapers/	http://www.zedge.net/ringtones/2919/acer-x960-ringtones/	106 x 59 x 13 mm
Acer	http://www.zedge.net/phone-index/76/acer/	http://www.zedge.net/phone-index/76-2918/acer/acer-m900/	http://www.zedge.net/wallpapers/2918/acer-m900-wallpapers/	http://www.zedge.net/ringtones/2918/acer-m900-ringtones/	119 x 62 x 17 mm
Acer	http://www.zedge.net/phone-index/76/acer/	http://www.zedge.net/phone-index/76-2917/acer/acer-f900/	http://www.zedge.net/wallpapers/2917/acer-f900-wallpapers/	http://www.zedge.net/ringtones/2917/acer-f900-ringtones/	117 x 63 x 12 mm
Acer	http://www.zedge.net/phone-index/76/acer/	http://www.zedge.net/phone-index/76-2916/acer/acer-dx900/	http://www.zedge.net/wallpapers/2916/acer-dx900-wallpapers/	http://www.zedge.net/ringtones/2916/acer-dx900-ringtones/	106 x 60 x 17 mm
Alcatel	http://www.zedge.net/phone-index/15/alcatel/	http://www.zedge.net/phone-index/15-7104/alcatel/alcatel-ot-992d/	http://www.zedge.net/wallpapers/7104/alcatel-ot-992d-wallpapers/	http://www.zedge.net/ringtones/7104/alcatel-ot-992d-ringtones/	124 x 64 x 11 mm
Alcatel	http://www.zedge.net/phone-index/15/alcatel/	http://www.zedge.net/phone-index/15-7103/alcatel/alcatel-one-touch-snap/	http://www.zedge.net/wallpapers/7103/alcatel-one-touch-snap-wallpapers/	http://www.zedge.net/ringtones/7103/alcatel-one-touch-snap-ringtones/	130 x 67 x 9 mm
Alcatel	http://www.zedge.net/phone-index/15/alcatel/	http://www.zedge.net/phone-index/15-7102/alcatel/alcatel-pop-c7/	http://www.zedge.net/wallpapers/7102/alcatel-pop-c7-wallpapers/	http://www.zedge.net/ringtones/7102/alcatel-pop-c7-ringtones/	141 x 72 x 10 mm
